pair,x,y,z,w,dwdq1,dwdq2,dwdq3
94, 0.000,0.000,0.800,0.005,-0.000,-0.000,-0.666
95, 0.000,0.000,0.800,0.250,-0.000,-0.000,-60.000
96, 0.000,0.000,0.800,0.250,-0.000,-0.000,-60.000
97, 0.000,0.000,0.800,0.050,-0.000,-0.000,-8.528
98, 0.000,0.000,0.800,0.250,-0.000,-0.000,-60.000
99, 0.000,0.000,0.800,0.050,-0.000,-0.000,-8.528
100, 0.000,0.000,0.800,0.050,-0.000,-0.000,-8.528
101, 0.000,0.000,0.800,0.005,-0.000,-0.000,-0.666
102, 0.000,0.000,0.800,0.000,-0.000,-0.000,-0.000
103, 0.000,0.000,0.900,0.000,-0.000,-0.000,-0.000
104, 0.000,0.000,0.900,0.250,-0.000,-0.000,-67.500
105, 0.000,0.000,0.900,0.050,-0.000,-0.000,-9.594
106, 0.000,0.000,0.900,0.250,-0.000,-0.000,-67.500
107, 0.000,0.000,0.900,0.050,-0.000,-0.000,-9.594
108, 0.000,0.000,0.900,0.250,-0.000,-0.000,-67.500
109, 0.000,0.000,0.900,0.005,-0.000,-0.000,-0.750
110, 0.000,0.000,0.900,0.050,-0.000,-0.000,-9.594
111, 0.000,0.000,0.900,0.250,-0.000,-0.000,-67.500
112, 0.000,0.000,0.900,0.050,-0.000,-0.000,-9.594
113, 0.000,0.000,0.900,0.050,-0.000,-0.000,-9.594
114, 0.000,0.000,0.900,0.005,-0.000,-0.000,-0.750
115, 0.000,0.000,1.000,0.000,-0.000,-0.000,-0.000
116, 0.000,0.000,1.000,0.250,-0.000,-0.000,-75.000
117, 0.000,0.000,1.000,0.050,-0.000,-0.000,-10.660
118, 0.000,0.000,1.000,0.050,-0.000,-0.000,-10.660
119, 0.000,0.000,1.000,0.005,-0.000,-0.000,-0.833
120, 0.000,0.000,1.000,0.250,-0.000,-0.000,-75.000
121, 0.000,0.000,1.000,0.250,-0.000,-0.000,-75.000
122, 0.000,0.000,1.000,0.050,-0.000,-0.000,-10.660
123, 0.000,0.100,0.000,0.250,-0.000,-7.500,-0.000
124, 0.000,0.100,0.000,0.050,-0.000,-1.066,-0.000
125, 0.000,0.100,0.000,0.250,-0.000,-7.500,-0.000
126, 0.000,0.100,0.000,0.050,-0.000,-1.066,-0.000
127, 0.000,0.100,0.000,0.005,-0.000,-0.083,-0.000
128, 0.000,0.100,0.000,0.250,-0.000,-7.500,-0.000
129, 0.000,0.100,0.000,0.050,-0.000,-1.066,-0.000
130, 0.000,0.100,0.000,0.250,-0.000,-7.500,-0.000
